,时间,小时,工作日,供冷季节,电耗
759,217,15,1,1,1071.399994
760,217,16,1,1,1112.500008
761,217,17,1,1,1116.299995
762,217,18,1,1,898.9000015
763,217,19,1,1,766.7999992
764,217,20,1,1,666.8000107
765,217,21,1,1,485.2000065
766,217,22,1,1,93.10000038
767,217,23,1,1,99.39999962
768,218,0,1,1,100.6000004
769,218,1,1,1,98.5
770,218,2,1,1,96.10000038
771,218,3,1,1,89.20000076
772,218,4,1,1,91.89999962
773,218,5,1,1,95.20000076
774,218,6,1,1,90.39999962
775,218,7,1,1,386.8100071
776,218,8,1,1,1000.300013
777,218,9,1,1,1054.400002
778,218,10,1,1,1117.800011
779,218,11,1,1,1119.690014
780,218,12,1,1,1145.920006
781,218,13,1,1,1099.989998
782,218,14,1,1,1008.700001
783,218,15,1,1,1129.200012
784,218,16,1,1,1161.699989
785,218,17,1,1,1126.710003
786,218,18,1,1,973.8799934
787,218,19,1,1,750.7099915
788,218,20,1,1,493.6000004
789,218,21,1,1,353.7999992
790,218,22,1,1,103.6000004
791,218,23,1,1,90.39999962
792,219,0,1,1,85
793,219,1,1,1,90.10000038
794,219,2,1,1,96.10000038
795,219,3,1,1,87.10000038
796,219,4,1,1,83.5
797,219,5,1,1,86.20000076
798,219,6,1,1,80.5
799,219,7,1,1,268.7000008
800,219,8,1,1,880.6099854
801,219,9,1,1,1068.790009
802,219,10,1,1,1096.299999
803,219,11,1,1,1121.600006
804,219,12,1,1,1164.590008
805,219,13,1,1,1106.109993
806,219,14,1,1,1090.700012
807,219,15,1,1,1148.589996
808,219,16,1,1,1207.510004
809,219,17,1,1,1202.410004
810,219,18,1,1,1022.579994
811,219,19,1,1,775.6000004
812,219,20,1,1,595.6100006
813,219,21,1,1,427
814,219,22,1,1,123.0999985
815,219,23,1,1,115.9000015
816,220,0,0,1,121
817,220,1,0,1,98.20000076
818,220,2,0,1,96.70000076
819,220,3,0,1,96.70000076
820,220,4,0,1,97.29999924
821,220,5,0,1,100
822,220,6,0,1,98.79999924
823,220,7,0,1,90.10000038
824,220,8,0,1,101.7999992
825,220,9,0,1,644.1999874
826,220,10,0,1,678.4000015
827,220,11,0,1,430.8999996
828,220,12,0,1,538.3999977
829,220,13,0,1,611.0000038
830,220,14,0,1,688.2999992
831,220,15,0,1,669.6900101
832,220,16,0,1,692.2099915
833,220,17,0,1,668.9900093
834,220,18,0,1,675.9099846
835,220,19,0,1,639.5000076
836,220,20,0,1,468.2000008
837,220,21,0,1,138.7999992
838,220,22,0,1,142.7999992
839,220,23,0,1,136
840,221,0,0,1,134.9000015
841,221,1,0,1,121.5999985
842,221,2,0,1,119.2000008
843,221,3,0,1,115.9000015
844,221,4,0,1,112
845,221,5,0,1,107.5
846,221,6,0,1,115.9000015
847,221,7,0,1,116.7999992
848,221,8,0,1,113.5
849,221,9,0,1,621.6099854
850,221,10,0,1,582.8799934
851,221,11,0,1,434.2000008
852,221,12,0,1,410.2000008
853,221,13,0,1,244.7999992
854,221,14,0,1,238.7999992
855,221,15,0,1,247.4000015
856,221,16,0,1,754.9000053
857,221,17,0,1,723.599987
858,221,18,0,1,386.9100037
859,221,19,0,1,296.6999969
860,221,20,0,1,549.7000008
861,221,21,0,1,121.2999992
862,221,22,0,1,121.2999992
863,221,23,0,1,125.2000008
864,222,0,1,1,125.5
865,222,1,1,1,121
866,222,2,1,1,109
867,222,3,1,1,108.7000008
868,222,4,1,1,115
869,222,5,1,1,98.5
870,222,6,1,1,98.20000076
871,222,7,1,1,319.3999977
872,222,8,1,1,1131.400002
873,222,9,1,1,1289.299988
874,222,10,1,1,1360.599987
875,222,11,1,1,1383.709984
876,222,12,1,1,1357.079994
877,222,13,1,1,1359.820007
878,222,14,1,1,1405.689995
879,222,15,1,1,1406.199989
880,222,16,1,1,1434.400013
881,222,17,1,1,1415.700001
882,222,18,1,1,1146.590027
883,222,19,1,1,824.4100037
884,222,20,1,1,432.1100006
885,222,21,1,1,257.4000015
886,222,22,1,1,105.4000015
887,222,23,1,1,92.79999924
888,223,0,1,1,87.39999962
